timestamp,consumption_kwh,temperature_c,humidity_pct
2022-01-01 00:00:00,258.48,8.75,59.4
2022-01-01 01:00:00,256.23,7.94,62.4
2022-01-01 02:00:00,252.03,9.52,54.5
2022-01-01 03:00:00,249.71,11.47,67.3
2022-01-01 04:00:00,250.6,9.66,48.6
2022-01-01 05:00:00,253.23,10.62,66.1
2022-01-01 06:00:00,258.2,14.38,58.6
2022-01-01 07:00:00,269.74,14.2,63.8
2022-01-01 08:00:00,282.5,13.31,60.6
2022-01-01 09:00:00,287.89,15.65,60.5
2022-01-01 10:00:00,281.04,14.78,61.6
2022-01-01 11:00:00,267.6,15.17,62.8
2022-01-01 12:00:00,256.15,16.37,57.2
2022-01-01 13:00:00,250.33,13.0,64.0
2022-01-01 14:00:00,252.06,12.89,53.4
2022-01-01 15:00:00,259.56,13.99,58.8
2022-01-01 16:00:00,270.6,12.49,63.0
2022-01-01 17:00:00,289.5,13.52,63.8
2022-01-01 18:00:00,308.65,10.65,61.1
2022-01-01 19:00:00,320.76,8.86,56.8
2022-01-01 20:00:00,327.63,12.21,63.3
2022-01-01 21:00:00,324.5,8.84,55.4
2022-01-01 22:00:00,324.7,8.65,67.6
2022-01-01 23:00:00,302.16,6.01,58.4
2022-01-02 00:00:00,280.94,7.2,50.8
2022-01-02 01:00:00,262.75,8.32,52.5
2022-01-02 02:00:00,258.41,6.83,58.7
2022-01-02 03:00:00,258.11,9.76,59.2
2022-01-02 04:00:00,254.37,9.12,68.3
2022-01-02 05:00:00,258.66,10.55,53.3
2022-01-02 06:00:00,261.52,11.12,58.6
2022-01-02 07:00:00,271.4,15.83,53.2
2022-01-02 08:00:00,281.93,14.0,56.0
2022-01-02 09:00:00,286.52,13.26,66.9
2022-01-02 10:00:00,281.53,16.72,52.8
2022-01-02 11:00:00,265.73,14.05,61.4
2022-01-02 12:00:00,255.77,16.33,60.4
2022-01-02 13:00:00,248.5,12.94,58.3
2022-01-02 14:00:00,249.42,13.49,61.0
2022-01-02 15:00:00,254.05,15.14,52.7
2022-01-02 16:00:00,265.88,15.13,66.7
2022-01-02 17:00:00,283.99,13.31,68.1
2022-01-02 18:00:00,303.93,11.85,58.7
2022-01-02 19:00:00,322.7,10.53,70.6
2022-01-02 20:00:00,332.49,7.8,56.5
2022-01-02 21:00:00,332.99,8.11,60.5
2022-01-02 22:00:00,319.32,7.87,65.6
2022-01-02 23:00:00,303.22,9.74,56.2
2022-01-03 00:00:00,296.12,8.55,51.2
2022-01-03 01:00:00,290.73,5.53,50.1
2022-01-03 02:00:00,290.78,9.06,68.4
2022-01-03 03:00:00,284.76,8.63,55.5
2022-01-03 04:00:00,283.34,9.02,57.2
2022-01-03 05:00:00,282.38,11.92,52.5
2022-01-03 06:00:00,286.58,13.58,62.9
2022-01-03 07:00:00,300.21,14.47,54.2
2022-01-03 08:00:00,312.88,12.78,55.7
2022-01-03 09:00:00,316.81,14.4,59.6
2022-01-03 10:00:00,307.35,16.0,52.8
2022-01-03 11:00:00,293.62,17.36,57.2
2022-01-03 12:00:00,280.68,15.32,65.1
2022-01-03 13:00:00,275.85,15.62,60.3
2022-01-03 14:00:00,277.61,13.84,58.8
2022-01-03 15:00:00,284.67,13.07,59.2
2022-01-03 16:00:00,295.36,15.25,56.2
2022-01-03 17:00:00,311.27,15.1,68.1
2022-01-03 18:00:00,328.42,11.93,54.0
2022-01-03 19:00:00,343.87,12.5,59.2
2022-01-03 20:00:00,353.67,10.58,58.7
2022-01-03 21:00:00,354.98,8.24,63.2
2022-01-03 22:00:00,344.83,9.11,63.6
2022-01-03 23:00:00,320.06,10.48,57.9
2022-01-04 00:00:00,296.1,8.0,59.2
2022-01-04 01:00:00,290.2,10.54,59.4
2022-01-04 02:00:00,285.94,5.0,46.4
2022-01-04 03:00:00,287.42,10.46,49.8
2022-01-04 04:00:00,279.59,10.18,54.7
2022-01-04 05:00:00,283.31,10.57,55.0
2022-01-04 06:00:00,294.41,12.19,51.8
2022-01-04 07:00:00,304.74,10.11,61.5
2022-01-04 08:00:00,374.29,13.72,57.8
2022-01-04 09:00:00,371.8,15.42,56.7
2022-01-04 10:00:00,365.4,17.73,51.5
2022-01-04 11:00:00,293.72,15.14,57.5
2022-01-04 12:00:00,282.62,14.84,44.6
2022-01-04 13:00:00,273.63,15.16,57.0
2022-01-04 14:00:00,272.78,16.89,58.1
2022-01-04 15:00:00,281.2,15.37,59.0
2022-01-04 16:00:00,295.6,13.26,49.9
2022-01-04 17:00:00,313.78,13.86,58.9
2022-01-04 18:00:00,382.28,12.2,52.6
2022-01-04 19:00:00,399.59,12.47,53.7
2022-01-04 20:00:00,408.82,9.0,61.4
2022-01-04 21:00:00,358.31,8.73,67.8
2022-01-04 22:00:00,353.41,8.0,58.0
2022-01-04 23:00:00,328.09,5.99,53.7
2022-01-05 00:00:00,305.79,8.52,58.4
2022-01-05 01:00:00,284.2,8.6,62.1
2022-01-05 02:00:00,283.73,8.62,60.5
2022-01-05 03:00:00,285.77,8.89,71.1
2022-01-05 04:00:00,285.59,7.95,53.8
2022-01-05 05:00:00,288.17,10.41,58.7
2022-01-05 06:00:00,292.74,11.56,65.2
2022-01-05 07:00:00,303.05,11.91,64.9
2022-01-05 08:00:00,311.96,13.83,47.7
2022-01-05 09:00:00,311.6,15.51,57.4
2022-01-05 10:00:00,304.48,18.37,64.8
2022-01-05 11:00:00,290.55,16.2,71.9
2022-01-05 12:00:00,279.22,16.46,60.9
2022-01-05 13:00:00,274.34,15.83,55.6
2022-01-05 14:00:00,275.51,12.66,52.4
2022-01-05 15:00:00,283.28,14.86,68.5
2022-01-05 16:00:00,291.59,14.17,61.1
2022-01-05 17:00:00,309.45,16.81,53.2
2022-01-05 18:00:00,327.02,11.79,56.4
2022-01-05 19:00:00,345.03,11.49,59.0
2022-01-05 20:00:00,356.05,10.02,60.1
2022-01-05 21:00:00,354.16,7.49,52.9
2022-01-05 22:00:00,344.58,10.33,54.4
2022-01-05 23:00:00,315.81,9.34,49.2
2022-01-06 00:00:00,300.26,9.29,62.3
2022-01-06 01:00:00,281.56,6.87,55.4
2022-01-06 02:00:00,285.86,10.74,59.4
2022-01-06 03:00:00,279.73,7.17,64.2
2022-01-06 04:00:00,278.13,10.98,58.2
2022-01-06 05:00:00,278.42,14.35,56.5
2022-01-06 06:00:00,287.42,10.62,58.1
2022-01-06 07:00:00,302.31,12.29,57.4
2022-01-06 08:00:00,311.14,14.25,63.3
2022-01-06 09:00:00,316.14,14.17,58.6
2022-01-06 10:00:00,309.23,13.24,54.4
2022-01-06 11:00:00,295.79,16.07,62.3
2022-01-06 12:00:00,278.86,14.51,63.2
2022-01-06 13:00:00,272.63,16.68,50.4
2022-01-06 14:00:00,270.03,14.19,64.7
2022-01-06 15:00:00,280.5,17.25,58.9
2022-01-06 16:00:00,293.8,12.93,58.5
2022-01-06 17:00:00,312.22,12.65,62.1
2022-01-06 18:00:00,331.5,13.32,54.2
2022-01-06 19:00:00,345.58,9.22,61.9
2022-01-06 20:00:00,352.03,10.44,55.2
2022-01-06 21:00:00,353.96,11.23,49.7
2022-01-06 22:00:00,346.51,6.23,52.1
