timestamp,consumption_kwh,temperature_c,humidity_pct
2022-01-01 00:00:00,255.97,8.75,59.4
2022-01-01 01:00:00,260.98,7.94,62.4
2022-01-01 02:00:00,251.73,9.52,54.5
2022-01-01 03:00:00,243.37,11.47,67.3
2022-01-01 04:00:00,254.02,9.66,48.6
2022-01-01 05:00:00,254.41,10.62,66.1
2022-01-01 06:00:00,251.26,14.38,58.6
2022-01-01 07:00:00,268.93,14.2,63.8
2022-01-01 08:00:00,289.04,13.31,60.6
2022-01-01 09:00:00,289.54,15.65,60.5
2022-01-01 10:00:00,285.09,14.78,61.6
2022-01-01 11:00:00,268.49,15.17,62.8
2022-01-01 12:00:00,249.22,16.37,57.2
2022-01-01 13:00:00,250.75,13.0,64.0
2022-01-01 14:00:00,251.02,12.89,53.4
2022-01-01 15:00:00,254.4,13.99,58.8
2022-01-01 16:00:00,273.27,12.49,63.0
2022-01-01 17:00:00,284.14,13.52,63.8
2022-01-01 18:00:00,311.08,10.65,61.1
2022-01-01 19:00:00,330.74,8.86,56.8
2022-01-01 20:00:00,320.45,12.21,63.3
2022-01-01 21:00:00,331.7,8.84,55.4
2022-01-01 22:00:00,321.36,8.65,67.6
2022-01-01 23:00:00,321.05,6.01,58.4
2022-01-02 00:00:00,264.07,7.2,50.8
2022-01-02 01:00:00,257.7,8.32,52.5
2022-01-02 02:00:00,266.47,6.83,58.7
2022-01-02 03:00:00,251.05,9.76,59.2
2022-01-02 04:00:00,256.82,9.12,68.3
2022-01-02 05:00:00,255.25,10.55,53.3
2022-01-02 06:00:00,263.9,11.12,58.6
2022-01-02 07:00:00,265.42,15.83,53.2
2022-01-02 08:00:00,284.88,14.0,56.0
2022-01-02 09:00:00,295.49,13.26,66.9
2022-01-02 10:00:00,279.18,16.72,52.8
2022-01-02 11:00:00,269.93,14.05,61.4
2022-01-02 12:00:00,248.08,16.33,60.4
2022-01-02 13:00:00,249.3,12.94,58.3
2022-01-02 14:00:00,248.13,13.49,61.0
2022-01-02 15:00:00,250.82,15.14,52.7
2022-01-02 16:00:00,263.21,15.13,66.7
2022-01-02 17:00:00,283.62,13.31,68.1
2022-01-02 18:00:00,305.14,11.85,58.7
2022-01-02 19:00:00,323.02,10.53,70.6
2022-01-02 20:00:00,339.93,7.8,56.5
2022-01-02 21:00:00,334.52,8.11,60.5
2022-01-02 22:00:00,324.51,7.87,65.6
2022-01-02 23:00:00,298.93,9.74,56.2
2022-01-03 00:00:00,286.23,8.55,51.2
2022-01-03 01:00:00,303.19,5.53,50.1
2022-01-03 02:00:00,282.76,9.06,68.4
2022-01-03 03:00:00,286.39,8.63,55.5
2022-01-03 04:00:00,285.14,9.02,57.2
2022-01-03 05:00:00,278.49,11.92,52.5
2022-01-03 06:00:00,283.5,13.58,62.9
2022-01-03 07:00:00,297.74,14.47,54.2
2022-01-03 08:00:00,319.38,12.78,55.7
2022-01-03 09:00:00,321.53,14.4,59.6
2022-01-03 10:00:00,309.52,16.0,52.8
2022-01-03 11:00:00,291.0,17.36,57.2
2022-01-03 12:00:00,280.34,15.32,65.1
